Number of passengers 				N_pax
Range 						R
Thurst to weight ratio				T_W
Wing loading					W_S
fuel fractions					M_ff
Fuel mass					M_fuel
required thrust 					T_req
Payload mass					M_payload
cabin length					l_cabin
inner fuselage diameter				d_f_inner
outer fuselage diameter				d_f_outer
nose length					l_nose
tailcone length					l_tailcone
tail lenght					l_tail
fuselage length					l_f
Fuselage radius					R_f
Overhead storage volume			V_os
Total storage volume				V_cc
Volume for cargo				V_cargo_available
Mass available for cargo			M_cargo_available
Aspect ratio					A
oswald factor 					e
Wing area					S
Wet wing area					S_wet
wing span					b
sweep at 1/4 chord				lambda_4_rad
sweep at 1/2 chord				lambda_2_rad
taper ratio					taper_ratio
Chord at root 					Cr
chord at tip 					Ct
thickness to chord				c_t
length of the mean aero chord			MAC
lateral loc of MAC				y_MAC
dihedral angle					dihredral_rad
Horizontal tail volume				V_h
Vertical tail volume				V_v
Aspect ratio tail					A_h
taper ratio of V tail				taper_ratio_v
sweep angle leading edge H tail 			lambda_h_le




									
